"# DETAILED BREAKDOWN (per country, per version)"
Country,Name,Version,Total,Z_MU_KUNNR,Z_PR_KUNNR,Both,Neither,MU%,PR%
AT,Austria,L,111325,70200,69763,55792,27154,63.1,62.7
AT,Austria,Missing,2817,0,0,0,2817,0.0,0.0
AT,Austria,P,14937,7602,10056,7046,4325,50.9,67.3
AT,Austria,ALL,129079,77802,79819,62838,34296,60.3,61.8
AU,Unknown,L,7349,0,0,0,7349,0.0,0.0
AU,Unknown,Missing,210,0,0,0,210,0.0,0.0
AU,Unknown,P,834,0,0,0,834,0.0,0.0
AU,Unknown,ALL,8393,0,0,0,8393,0.0,0.0
BE,Belgium,P,365,0,0,0,365,0.0,0.0
BE,Belgium,ALL,365,0,0,0,365,0.0,0.0
BR,Unknown,L,9755,0,0,0,9755,0.0,0.0
BR,Unknown,Missing,315,0,0,0,315,0.0,0.0
BR,Unknown,P,1411,0,0,0,1411,0.0,0.0
BR,Unknown,ALL,11481,0,0,0,11481,0.0,0.0
CN,Unknown,L,1582,0,0,0,1582,0.0,0.0
CN,Unknown,Missing,110,0,0,0,110,0.0,0.0
CN,Unknown,P,3126,0,0,0,3126,0.0,0.0
CN,Unknown,ALL,4818,0,0,0,4818,0.0,0.0
DE,Germany,L,49049,36080,36019,33333,10283,73.6,73.4
DE,Germany,Missing,1543,0,0,0,1543,0.0,0.0
DE,Germany,P,5035,3728,4154,3675,828,74.0,82.5
DE,Germany,ALL,55627,39808,40173,37008,12654,71.6,72.2
FR,France,L,111519,8428,10527,7434,99998,7.6,9.4
FR,France,Missing,3133,0,0,0,3133,0.0,0.0
FR,France,P,9439,732,826,660,8541,7.8,8.8
FR,France,ALL,124091,9160,11353,8094,111672,7.4,9.1
MX,Unknown,L,31980,0,0,0,31980,0.0,0.0
MX,Unknown,Missing,1294,0,0,0,1294,0.0,0.0
MX,Unknown,P,10517,0,0,0,10517,0.0,0.0
MX,Unknown,ALL,43791,0,0,0,43791,0.0,0.0
PL,Poland,L,39125,3287,615,59,35282,8.4,1.6
PL,Poland,Missing,1121,0,0,0,1121,0.0,0.0
PL,Poland,P,6857,627,176,38,6092,9.1,2.6
PL,Poland,ALL,47103,3914,791,97,42495,8.3,1.7
RU,Unknown,L,109073,455,79765,8,28861,0.4,73.1
RU,Unknown,Missing,2890,0,0,0,2890,0.0,0.0
RU,Unknown,P,7744,45,5858,2,1843,0.6,75.6
RU,Unknown,ALL,119707,500,85623,10,33594,0.4,71.5
TR,Turkey,L,2,0,0,0,2,0.0,0.0
TR,Turkey,Missing,81,0,0,0,81,0.0,0.0
TR,Turkey,P,944,0,0,0,944,0.0,0.0
TR,Turkey,ALL,1027,0,0,0,1027,0.0,0.0
UA,Ukraine,L,13982,7,2,2,13975,0.1,0.0
UA,Ukraine,Missing,512,0,0,0,512,0.0,0.0
UA,Ukraine,P,3575,7,2,2,3568,0.2,0.1
UA,Ukraine,ALL,18069,14,4,4,18055,0.1,0.0
US,United States,L,72848,0,0,0,72848,0.0,0.0
US,United States,Missing,2466,0,0,0,2466,0.0,0.0
US,United States,P,19549,0,0,0,19549,0.0,0.0
US,United States,ALL,94863,0,0,0,94863,0.0,0.0
XX,Unknown,Missing,3,0,0,0,3,0.0,0.0
XX,Unknown,P,7,0,0,0,7,0.0,0.0
XX,Unknown,ALL,10,0,0,0,10,0.0,0.0
ZZ,Unknown,L,49,0,47,0,2,0.0,95.9
ZZ,Unknown,Missing,4,0,0,0,4,0.0,0.0
ZZ,Unknown,P,27,0,19,0,8,0.0,70.4
ZZ,Unknown,ALL,80,0,66,0,14,0.0,82.5
ALL,,ALL,658504,131198,217829,108051,417528,19.9,33.1

# SUMMARY BY COUNTRY
Country,Name,Version,Total,Z_MU_KUNNR,Z_PR_KUNNR,Both,Neither,MU%,PR%
AT,Austria,,129079,77802,79819,62838,34296,60.3,61.8
AU,Unknown,,8393,0,0,0,8393,0.0,0.0
BE,Belgium,,365,0,0,0,365,0.0,0.0
BR,Unknown,,11481,0,0,0,11481,0.0,0.0
CN,Unknown,,4818,0,0,0,4818,0.0,0.0
DE,Germany,,55627,39808,40173,37008,12654,71.6,72.2
FR,France,,124091,9160,11353,8094,111672,7.4,9.1
MX,Unknown,,43791,0,0,0,43791,0.0,0.0
PL,Poland,,47103,3914,791,97,42495,8.3,1.7
RU,Unknown,,119707,500,85623,10,33594,0.4,71.5
TR,Turkey,,1027,0,0,0,1027,0.0,0.0
UA,Ukraine,,18069,14,4,4,18055,0.1,0.0
US,United States,,94863,0,0,0,94863,0.0,0.0
XX,Unknown,,10,0,0,0,10,0.0,0.0
ZZ,Unknown,,80,0,66,0,14,0.0,82.5
ALL,,,658504,131198,217829,108051,417528,19.9,33.1

# SUMMARY BY VERSION
Country,Name,Version,Total,Z_MU_KUNNR,Z_PR_KUNNR,Both,Neither,MU%,PR%
ALL,,L,557638,118457,196738,96628,339071,21.2,35.3
ALL,,Missing,16499,0,0,0,16499,0.0,0.0
ALL,,P,84367,12741,21091,11423,61958,15.1,25.0
ALL,,ALL,658504,131198,217829,108051,417528,19.9,33.1
