Topic,Count,Name,Representation,Representative_Docs
-1,174,-1_communicatieproblemen_afsluiting_gesprek_toegang,"['communicatieproblemen', 'afsluiting', 'gesprek', 'toegang', 'portering', 'probleem', 'buitenland', 'wijziging', 'nummeroverdracht', 'portaal']","['afsluiting gesprek', 'afsluiting gesprek', 'afsluiting gesprek']"
0,2019,0_problemen_doorschakeling_voicemail_instellingen,"['problemen', 'doorschakeling', 'voicemail', 'instellingen', 'probleem', 'telefoonproblemen', 'telefoonnummer', 'algemene', 'nummerportering', 'telefonie']","['technische problemen', 'doorschakeling telefoonnummer', 'mobiele telefonie problemen']"
1,356,1_ondersteuning_technische_administratieve_it,"['ondersteuning', 'technische', 'administratieve', 'it', 'intercom', 'aanpassingen', 'vaste', 'installatie', 'toestel', 'hot']","['Technische ondersteuning', 'technische ondersteuning', 'technische ondersteuning']"
2,86,2_klantenservice_service_diensten_klacht,"['klantenservice', 'service', 'diensten', 'klacht', 'dataverwijderingsservice', 'dienstregeling', 'wholesale', 'kpn', 'roosterinrichting', 'multifunctionele']","['Klantenservice', 'klantenservice', 'Klantenservice']"
3,33,3_cloud_softphone_software_cloudphone,"['cloud', 'softphone', 'software', 'cloudphone', 'cloudsoftware', 'configuratie', 'problemen', 'installatie', 'machtigingen', 'functiecodes']","['Cloud softphone problemen', 'Cloud Softphone problemen', 'Problemen met Cloud softphone']"
4,25,4_uitbreiding_licenties_extensies_extensie,"['uitbreiding', 'licenties', 'extensies', 'extensie', 'teams', 'extra', 'microsoft', 'virtuele', 'aanmaken', 'toestel']","['uitbreiding van extensies', 'uitbreiding van Teams-licenties', 'uitbreiding van extensies']"
5,25,5_gezondheid_verzorging_hygiëne_gezondheidsadvies,"['gezondheid', 'verzorging', 'hygiëne', 'gezondheidsadvies', 'alcoholconsumptie', 'zorgcentrum', 'inschrijving', 'gezondheidszorg', 'bierconsumptie', 'werk']","['gezondheid', 'gezondheid', 'gezondheid']"
6,22,6_wachttijd_tijdinstellingen_wachtende_tijdschema,"['wachttijd', 'tijdinstellingen', 'wachtende', 'tijdschema', 'tijd', 'gespreksoverdracht', 'wachttijden', 'toestellen', 'synchronisatie', 'oproep']","['wachttijd', 'wachttijd', 'Wachttijd']"
7,14,7_onbekend_onbekende_beller_,"['onbekend', 'onbekende', 'beller', '', '', '', '', '', '', '']","['Onbekend', 'Onbekend', 'Onbekend']"
8,13,8_storing_melding_analyse_webrtc,"['storing', 'melding', 'analyse', 'webrtc', 'kpn', 'software', '', '', '', '']","['storing', 'storing', 'storing']"
9,12,9_vakantie_weekenddienst_feestdagen_antwoordapparaat,"['vakantie', 'weekenddienst', 'feestdagen', 'antwoordapparaat', 'instellen', 'vakantietekst', 'vakantiesluiting', 'vakantieplanning', 'vakantiemelding', 'instellingen']","['vakantie voicemail', 'vakantie-instellingen', 'vakantie-instellingen']"
